_num,id,rank,workers,company,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list,revenue_per_employee,growth_category
283,25636,283,20,FreeRateUpdate.com,freerateupdatecom,Nevada,NV,Las Vegas,Las Vegas-Paradise NV,1612.0096,8168477.0,Advertising & Marketing,1,408423.85,Medium
284,25725,284,7,Southern Green Builders,southern-green-builders,Texas,TX,Houston,Houston,1610.4108,4166116.0,Construction,1,595159.4285714285,Medium
285,26381,285,28,Excellence Engineering,excellence-engineering,Oklahoma,OK,Tulsa,Tulsa OK,1603.5675,5226000.0,Engineering,1,186642.85714285713,Medium
286,25417,286,29,Fonteva,fonteva,Virginia,VA,Arlington,Washington DC,1599.7825,2876083.0,Software,1,99175.27586206897,Medium
287,22925,287,147,Madwire,madwire,Colorado,CO,Loveland,Fort Collins-Loveland CO,1593.0873,13325850.0,Advertising & Marketing,2,90652.04081632652,Medium
288,26191,288,10,Whet Travel,whet-travel,Florida,FL,Miami Beach,Miami,1579.9141,6397449.0,Travel & Hospitality,1,639744.9,Medium
289,26234,289,27,Zapproved,zapproved,Oregon,OR,Hillsboro,Portland OR,1566.5949,2378081.0,Software,1,88077.07407407407,Medium
290,19653,290,77,It Works!,it-works,Florida,FL,Bradenton,Sarasota-Bradenton-Venice FL,1565.3208,456296000.0,Consumer Products & Services,4,5925922.077922078,Medium
291,25262,291,27,InQuicker,inquicker,Tennessee,TN,Nashville,Nashville,1564.3714,5198298.0,Health,1,192529.55555555556,Medium
292,23511,292,5,UpSurge Media Group,upsurge-media-group,New York,NY,New York,New York City,1560.1278,5577000.0,Advertising & Marketing,2,1115400.0,Medium
293,25098,293,23,United Credit Consultants,united-credit-consultants,Minnesota,MN,Burnsville,Minneapolis,1555.6041,2038446.0,Financial Services,1,88628.08695652174,Medium
294,25163,294,19,Trapp,trapp,Arizona,AZ,Scottsdale,Phoenix,1554.1583,2041099.0,IT Services,1,107426.26315789473,Medium
295,24001,295,157,VSI Nearshore Outsourcing,vsi-nearshore-outsourcing,Florida,FL,Miami,Miami,1551.0642,3197550.0,IT Services,2,20366.56050955414,Medium
296,26314,296,2,AcquisitionsAndRenewals.com,acquisitionsandrenewalscom,Nevada,NV,Henderson,Las Vegas-Paradise NV,1548.8424,4628284.0,Telecommunications,1,2314142.0,Medium
297,22947,297,19,Bio Soil Enhancers,bio-soil-enhancers,Mississippi,MS,Hattiesburg,Unknown,1538.9036,7811162.0,Manufacturing,2,411113.7894736842,Medium
298,26256,298,23,Cogito,cogito,Massachusetts,MA,Boston,Boston,1528.9871,2524930.0,Software,1,109779.56521739131,Medium
299,26250,299,35,MorrisCore,morriscore,Florida,FL,Pompano Beach,Miami,1520.2761,2064653.0,Advertising & Marketing,1,58990.08571428571,Medium
300,24920,300,7,Noi Solutions,noi-solutions,New York,NY,New York,New York City,1519.4793,22833994.0,Business Products & Services,1,3261999.1428571427,Medium
301,25993,301,32,KeVita Sparkling Probiotic Drinks,kevita-sparkling-probiotic-drinks,California,CA,Oxnard,Oxnard-Thousand Oaks-Ventura CA,1518.5507,11168000.0,Food & Beverage,1,349000.0,Medium
302,25740,302,12,HoverCam,hovercam,California,CA,San Diego,San Diego,1517.0231,4760241.0,Manufacturing,1,396686.75,Medium
303,21205,303,10,Apex Resources,apex-resources,Texas,TX,Dallas,Dallas,1515.4893,25450095.0,Manufacturing,3,2545009.5,Medium
304,25708,304,25,SiteCompli,sitecompli,New York,NY,New York,New York City,1512.312,5126072.0,Software,1,205042.88,Medium
305,21597,305,80,Clearleap,clearleap,Georgia,GA,Duluth,Atlanta,1509.6721,9819000.0,Software,3,122737.5,Medium
306,22988,306,15,StartFinder,startfinder,Maryland,MD,Rockville,Washington DC,1509.4059,3251000.0,Human Resources,2,216733.33333333334,Medium
307,21314,307,703,LongView International Technology Solutions,longview-international-technology-solutions,Virginia,VA,Alexandria,Washington DC,1505.6112,128269211.0,Government Services,2,182459.75960170696,Medium
308,25239,308,188,Softhq,softhq,California,CA,San Diego,San Diego,1496.7527,16058111.0,IT Services,1,85415.48404255319,Medium
309,25732,309,24,EveryMundo,everymundo,Florida,FL,Miami,Miami,1495.2936,2454423.0,Advertising & Marketing,1,102267.625,Medium
310,25750,310,20,CoolMiniOrNot,coolminiornot,Georgia,GA,Alpharetta,Atlanta,1494.8187,6156000.0,Consumer Products & Services,1,307800.0,Medium
311,26170,311,62,Logical Position,logical-position,Oregon,OR,Lake Oswego,Portland OR,1486.2973,3537094.0,Advertising & Marketing,1,57049.903225806454,Medium
